roadway_surface_cond,Road_alignment,trafficway_type,road_defect,Road_Key
OTHER,STRAIGHT AND LEVEL,Y-INTERSECTION,"RUT, HOLES",660
WET,CURVE ON HILLCREST,PARKING LOT,NO DEFECTS,661
WET,"CURVE, LEVEL",NOT DIVIDED,SHOULDER DEFECT,662
ICE,"CURVE, LEVEL",NOT DIVIDED,UNKNOWN,663
UNKNOWN,STRAIGHT ON GRADE,DIVIDED - W/MEDIAN BARRIER,NO DEFECTS,664
DRY,STRAIGHT AND LEVEL,UNKNOWN,SHOULDER DEFECT,665
ICE,STRAIGHT ON GRADE,FOUR WAY,NO DEFECTS,666
WET,STRAIGHT AND LEVEL,TRAFFIC ROUTE,SHOULDER DEFECT,667
SNOW OR SLUSH,STRAIGHT ON GRADE,ONE-WAY,UNKNOWN,668
ICE,STRAIGHT AND LEVEL,ALLEY,SHOULDER DEFECT,669
DRY,CURVE ON GRADE,UNKNOWN,"RUT, HOLES",670
SNOW OR SLUSH,STRAIGHT AND LEVEL,NOT DIVIDED,DEBRIS ON ROADWAY,671
OTHER,STRAIGHT AND LEVEL,FOUR WAY,"RUT, HOLES",672
SNOW OR SLUSH,STRAIGHT ON GRADE,FOUR WAY,WORN SURFACE,673
UNKNOWN,STRAIGHT AND LEVEL,ROUNDABOUT,NO DEFECTS,674
DRY,STRAIGHT ON GRADE,NOT DIVIDED,"RUT, HOLES",675
DRY,"CURVE, LEVEL",DIVIDED - W/MEDIAN (NOT RAISED),WORN SURFACE,676
WET,STRAIGHT AND LEVEL,CENTER TURN LANE,"RUT, HOLES",677
OTHER,"CURVE, LEVEL",UNKNOWN,NO DEFECTS,678
SNOW OR SLUSH,STRAIGHT AND LEVEL,NOT DIVIDED,WORN SURFACE,679
WET,STRAIGHT ON HILLCREST,OTHER,WORN SURFACE,680
DRY,STRAIGHT ON HILLCREST,DRIVEWAY,NO DEFECTS,681
SNOW OR SLUSH,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN (NOT RAISED),"RUT, HOLES",682
DRY,STRAIGHT AND LEVEL,ALLEY,"RUT, HOLES",683
UNKNOWN,"CURVE, LEVEL",DIVIDED - W/MEDIAN BARRIER,UNKNOWN,684
UNKNOWN,STRAIGHT ON GRADE,ALLEY,UNKNOWN,685
UNKNOWN,STRAIGHT AND LEVEL,NOT DIVIDED,SHOULDER DEFECT,686
ICE,CURVE ON HILLCREST,DIVIDED - W/MEDIAN (NOT RAISED),UNKNOWN,687
DRY,STRAIGHT AND LEVEL,Y-INTERSECTION,SHOULDER DEFECT,688
WET,STRAIGHT ON GRADE,ONE-WAY,UNKNOWN,689
ICE,STRAIGHT ON HILLCREST,T-INTERSECTION,NO DEFECTS,690
WET,STRAIGHT ON HILLCREST,DIVIDED - W/MEDIAN BARRIER,UNKNOWN,691
UNKNOWN,STRAIGHT AND LEVEL,CENTER TURN LANE,"RUT, HOLES",692
ICE,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN (NOT RAISED),"RUT, HOLES",693
ICE,CURVE ON GRADE,DIVIDED - W/MEDIAN (NOT RAISED),NO DEFECTS,694
DRY,CURVE ON HILLCREST,NOT DIVIDED,"RUT, HOLES",695
WET,STRAIGHT AND LEVEL,FOUR WAY,DEBRIS ON ROADWAY,696
DRY,STRAIGHT AND LEVEL,NOT REPORTED,"RUT, HOLES",697
WET,STRAIGHT ON HILLCREST,CENTER TURN LANE,UNKNOWN,698
ICE,STRAIGHT AND LEVEL,ALLEY,UNKNOWN,699
UNKNOWN,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN BARRIER,WORN SURFACE,700
UNKNOWN,CURVE ON GRADE,DIVIDED - W/MEDIAN (NOT RAISED),UNKNOWN,701
DRY,STRAIGHT AND LEVEL,Y-INTERSECTION,"RUT, HOLES",702
OTHER,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN BARRIER,UNKNOWN,703
WET,STRAIGHT ON HILLCREST,T-INTERSECTION,UNKNOWN,704
DRY,STRAIGHT AND LEVEL,"FIVE POINT, OR MORE","RUT, HOLES",705
SNOW OR SLUSH,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN BARRIER,SHOULDER DEFECT,706
WET,STRAIGHT ON HILLCREST,RAMP,NO DEFECTS,707
ICE,STRAIGHT AND LEVEL,CENTER TURN LANE,NO DEFECTS,708
DRY,STRAIGHT ON GRADE,NOT REPORTED,UNKNOWN,709
DRY,CURVE ON GRADE,ONE-WAY,NO DEFECTS,710
WET,STRAIGHT AND LEVEL,OTHER,OTHER,711
WET,STRAIGHT AND LEVEL,NOT DIVIDED,DEBRIS ON ROADWAY,712
DRY,STRAIGHT ON HILLCREST,UNKNOWN,NO DEFECTS,713
DRY,STRAIGHT ON GRADE,ONE-WAY,"RUT, HOLES",714
WET,STRAIGHT AND LEVEL,PARKING LOT,WORN SURFACE,715
"SAND, MUD, DIRT",STRAIGHT AND LEVEL,PARKING LOT,OTHER,716
SNOW OR SLUSH,STRAIGHT ON HILLCREST,DIVIDED - W/MEDIAN (NOT RAISED),OTHER,717
ICE,STRAIGHT AND LEVEL,"FIVE POINT, OR MORE",UNKNOWN,718
DRY,"CURVE, LEVEL",L-INTERSECTION,NO DEFECTS,719
WET,"CURVE, LEVEL",RAMP,UNKNOWN,720
SNOW OR SLUSH,CURVE ON GRADE,NOT DIVIDED,UNKNOWN,721
OTHER,CURVE ON GRADE,DIVIDED - W/MEDIAN BARRIER,NO DEFECTS,722
SNOW OR SLUSH,STRAIGHT AND LEVEL,Y-INTERSECTION,SHOULDER DEFECT,723
SNOW OR SLUSH,STRAIGHT AND LEVEL,NOT REPORTED,UNKNOWN,724
WET,STRAIGHT ON GRADE,DIVIDED - W/MEDIAN BARRIER,OTHER,725
DRY,STRAIGHT AND LEVEL,PARKING LOT,SHOULDER DEFECT,726
SNOW OR SLUSH,STRAIGHT ON GRADE,FOUR WAY,UNKNOWN,727
UNKNOWN,STRAIGHT AND LEVEL,T-INTERSECTION,WORN SURFACE,728
ICE,STRAIGHT ON GRADE,T-INTERSECTION,UNKNOWN,729
UNKNOWN,"CURVE, LEVEL",TRAFFIC ROUTE,UNKNOWN,730
WET,STRAIGHT ON HILLCREST,FOUR WAY,UNKNOWN,731
WET,CURVE ON GRADE,DIVIDED - W/MEDIAN (NOT RAISED),UNKNOWN,732
WET,"CURVE, LEVEL",OTHER,SHOULDER DEFECT,733
DRY,STRAIGHT AND LEVEL,ROUNDABOUT,OTHER,734
DRY,"CURVE, LEVEL",DIVIDED - W/MEDIAN BARRIER,OTHER,735
ICE,STRAIGHT ON GRADE,ONE-WAY,UNKNOWN,736
OTHER,STRAIGHT AND LEVEL,Y-INTERSECTION,UNKNOWN,737
SNOW OR SLUSH,"CURVE, LEVEL",ONE-WAY,NO DEFECTS,738
SNOW OR SLUSH,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN BARRIER,DEBRIS ON ROADWAY,739
UNKNOWN,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN BARRIER,OTHER,740
DRY,"CURVE, LEVEL",ROUNDABOUT,"RUT, HOLES",741
"SAND, MUD, DIRT",STRAIGHT AND LEVEL,ONE-WAY,UNKNOWN,742
DRY,STRAIGHT AND LEVEL,NOT REPORTED,WORN SURFACE,743
UNKNOWN,CURVE ON GRADE,NOT DIVIDED,OTHER,744
SNOW OR SLUSH,STRAIGHT AND LEVEL,CENTER TURN LANE,DEBRIS ON ROADWAY,745
UNKNOWN,STRAIGHT ON GRADE,DRIVEWAY,UNKNOWN,746
WET,STRAIGHT AND LEVEL,Y-INTERSECTION,OTHER,747
SNOW OR SLUSH,CURVE ON HILLCREST,DIVIDED - W/MEDIAN (NOT RAISED),NO DEFECTS,748
DRY,STRAIGHT ON GRADE,RAMP,UNKNOWN,749
WET,STRAIGHT ON HILLCREST,ONE-WAY,NO DEFECTS,750
DRY,STRAIGHT ON GRADE,T-INTERSECTION,DEBRIS ON ROADWAY,751
ICE,STRAIGHT ON HILLCREST,NOT DIVIDED,UNKNOWN,752
WET,CURVE ON GRADE,DIVIDED - W/MEDIAN BARRIER,UNKNOWN,753
OTHER,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN BARRIER,DEBRIS ON ROADWAY,754
OTHER,STRAIGHT AND LEVEL,ONE-WAY,WORN SURFACE,755
DRY,STRAIGHT ON HILLCREST,ONE-WAY,UNKNOWN,756
OTHER,STRAIGHT ON GRADE,FOUR WAY,NO DEFECTS,757
"SAND, MUD, DIRT",STRAIGHT AND LEVEL,OTHER,NO DEFECTS,758
DRY,STRAIGHT AND LEVEL,TRAFFIC ROUTE,DEBRIS ON ROADWAY,759
"SAND, MUD, DIRT",STRAIGHT AND LEVEL,NOT DIVIDED,UNKNOWN,760
ICE,STRAIGHT AND LEVEL,ONE-WAY,"RUT, HOLES",761
WET,"CURVE, LEVEL",DIVIDED - W/MEDIAN BARRIER,WORN SURFACE,762
ICE,STRAIGHT AND LEVEL,FOUR WAY,WORN SURFACE,763
ICE,STRAIGHT ON GRADE,TRAFFIC ROUTE,NO DEFECTS,764
OTHER,STRAIGHT ON GRADE,NOT DIVIDED,DEBRIS ON ROADWAY,765
WET,STRAIGHT ON GRADE,PARKING LOT,NO DEFECTS,766
DRY,"CURVE, LEVEL",ROUNDABOUT,WORN SURFACE,767
OTHER,STRAIGHT AND LEVEL,ONE-WAY,DEBRIS ON ROADWAY,768
DRY,STRAIGHT AND LEVEL,L-INTERSECTION,SHOULDER DEFECT,769
UNKNOWN,CURVE ON GRADE,PARKING LOT,UNKNOWN,770
DRY,STRAIGHT ON HILLCREST,DIVIDED - W/MEDIAN BARRIER,OTHER,771
DRY,STRAIGHT ON HILLCREST,T-INTERSECTION,UNKNOWN,772
ICE,STRAIGHT AND LEVEL,ROUNDABOUT,NO DEFECTS,773
DRY,STRAIGHT ON GRADE,"FIVE POINT, OR MORE",UNKNOWN,774
DRY,STRAIGHT ON HILLCREST,T-INTERSECTION,WORN SURFACE,775
DRY,STRAIGHT ON GRADE,DRIVEWAY,OTHER,776
DRY,"CURVE, LEVEL",ONE-WAY,WORN SURFACE,777
OTHER,STRAIGHT AND LEVEL,NOT DIVIDED,SHOULDER DEFECT,778
SNOW OR SLUSH,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN (NOT RAISED),WORN SURFACE,779
DRY,CURVE ON GRADE,DRIVEWAY,NO DEFECTS,780
OTHER,STRAIGHT AND LEVEL,NOT REPORTED,OTHER,781
WET,STRAIGHT ON GRADE,NOT DIVIDED,OTHER,782
ICE,STRAIGHT ON HILLCREST,ONE-WAY,NO DEFECTS,783
SNOW OR SLUSH,STRAIGHT ON GRADE,NOT DIVIDED,"RUT, HOLES",784
DRY,STRAIGHT ON GRADE,TRAFFIC ROUTE,UNKNOWN,785
WET,STRAIGHT ON GRADE,FOUR WAY,OTHER,786
WET,CURVE ON GRADE,NOT DIVIDED,UNKNOWN,787
SNOW OR SLUSH,STRAIGHT AND LEVEL,RAMP,UNKNOWN,788
DRY,STRAIGHT ON GRADE,DRIVEWAY,SHOULDER DEFECT,789
SNOW OR SLUSH,STRAIGHT ON GRADE,NOT DIVIDED,SHOULDER DEFECT,790
UNKNOWN,"CURVE, LEVEL",T-INTERSECTION,UNKNOWN,791
DRY,"CURVE, LEVEL",NOT REPORTED,NO DEFECTS,792
DRY,CURVE ON HILLCREST,DIVIDED - W/MEDIAN (NOT RAISED),WORN SURFACE,793
SNOW OR SLUSH,STRAIGHT ON HILLCREST,FOUR WAY,UNKNOWN,794
WET,STRAIGHT AND LEVEL,ROUNDABOUT,UNKNOWN,795
UNKNOWN,STRAIGHT ON HILLCREST,CENTER TURN LANE,UNKNOWN,796
WET,STRAIGHT ON GRADE,ALLEY,NO DEFECTS,797
SNOW OR SLUSH,STRAIGHT ON GRADE,FOUR WAY,OTHER,798
UNKNOWN,STRAIGHT ON GRADE,RAMP,UNKNOWN,799
WET,STRAIGHT ON HILLCREST,NOT DIVIDED,"RUT, HOLES",800
DRY,"CURVE, LEVEL",RAMP,UNKNOWN,801
WET,"CURVE, LEVEL",ALLEY,"RUT, HOLES",802
SNOW OR SLUSH,STRAIGHT ON GRADE,CENTER TURN LANE,UNKNOWN,803
DRY,CURVE ON GRADE,FOUR WAY,"RUT, HOLES",804
WET,STRAIGHT ON GRADE,OTHER,WORN SURFACE,805
WET,STRAIGHT AND LEVEL,T-INTERSECTION,OTHER,806
ICE,STRAIGHT AND LEVEL,CENTER TURN LANE,"RUT, HOLES",807
SNOW OR SLUSH,STRAIGHT AND LEVEL,CENTER TURN LANE,"RUT, HOLES",808
DRY,"CURVE, LEVEL",DRIVEWAY,NO DEFECTS,809
DRY,CURVE ON GRADE,Y-INTERSECTION,UNKNOWN,810
DRY,CURVE ON HILLCREST,UNKNOWN,NO DEFECTS,811
DRY,CURVE ON GRADE,NOT DIVIDED,UNKNOWN,812
ICE,STRAIGHT AND LEVEL,ALLEY,WORN SURFACE,813
SNOW OR SLUSH,STRAIGHT AND LEVEL,L-INTERSECTION,NO DEFECTS,814
"SAND, MUD, DIRT",STRAIGHT ON HILLCREST,OTHER,DEBRIS ON ROADWAY,815
ICE,STRAIGHT ON GRADE,DIVIDED - W/MEDIAN BARRIER,NO DEFECTS,816
SNOW OR SLUSH,STRAIGHT ON GRADE,ALLEY,NO DEFECTS,817
ICE,STRAIGHT AND LEVEL,ONE-WAY,WORN SURFACE,818
WET,CURVE ON GRADE,NOT DIVIDED,WORN SURFACE,819
WET,STRAIGHT AND LEVEL,ALLEY,WORN SURFACE,820
SNOW OR SLUSH,STRAIGHT ON HILLCREST,NOT DIVIDED,WORN SURFACE,821
WET,STRAIGHT ON GRADE,NOT REPORTED,NO DEFECTS,822
WET,STRAIGHT ON GRADE,UNKNOWN,UNKNOWN,823
ICE,STRAIGHT ON GRADE,CENTER TURN LANE,NO DEFECTS,824
UNKNOWN,STRAIGHT ON GRADE,FOUR WAY,WORN SURFACE,825
DRY,STRAIGHT ON HILLCREST,DIVIDED - W/MEDIAN (NOT RAISED),OTHER,826
"SAND, MUD, DIRT",STRAIGHT AND LEVEL,ONE-WAY,DEBRIS ON ROADWAY,827
ICE,STRAIGHT ON GRADE,DIVIDED - W/MEDIAN (NOT RAISED),NO DEFECTS,828
SNOW OR SLUSH,STRAIGHT ON HILLCREST,DIVIDED - W/MEDIAN BARRIER,NO DEFECTS,829
UNKNOWN,CURVE ON GRADE,DIVIDED - W/MEDIAN BARRIER,UNKNOWN,830
DRY,STRAIGHT AND LEVEL,ALLEY,SHOULDER DEFECT,831
"SAND, MUD, DIRT",STRAIGHT AND LEVEL,FOUR WAY,UNKNOWN,832
DRY,"CURVE, LEVEL",FOUR WAY,"RUT, HOLES",833
SNOW OR SLUSH,STRAIGHT ON HILLCREST,FOUR WAY,NO DEFECTS,834
OTHER,STRAIGHT AND LEVEL,NOT REPORTED,NO DEFECTS,835
WET,"CURVE, LEVEL",FOUR WAY,WORN SURFACE,836
SNOW OR SLUSH,"CURVE, LEVEL",T-INTERSECTION,UNKNOWN,837
SNOW OR SLUSH,STRAIGHT AND LEVEL,OTHER,"RUT, HOLES",838
DRY,CURVE ON GRADE,TRAFFIC ROUTE,NO DEFECTS,839
DRY,CURVE ON GRADE,FOUR WAY,UNKNOWN,840
DRY,STRAIGHT AND LEVEL,CENTER TURN LANE,DEBRIS ON ROADWAY,841
DRY,STRAIGHT ON HILLCREST,RAMP,UNKNOWN,842
UNKNOWN,CURVE ON GRADE,DIVIDED - W/MEDIAN BARRIER,NO DEFECTS,843
SNOW OR SLUSH,CURVE ON GRADE,OTHER,NO DEFECTS,844
WET,STRAIGHT ON GRADE,CENTER TURN LANE,UNKNOWN,845
ICE,"CURVE, LEVEL",NOT DIVIDED,OTHER,846
WET,"CURVE, LEVEL",NOT DIVIDED,"RUT, HOLES",847
"SAND, MUD, DIRT",STRAIGHT AND LEVEL,ONE-WAY,OTHER,848
SNOW OR SLUSH,CURVE ON GRADE,DIVIDED - W/MEDIAN (NOT RAISED),NO DEFECTS,849
DRY,CURVE ON HILLCREST,Y-INTERSECTION,UNKNOWN,850
"SAND, MUD, DIRT",STRAIGHT AND LEVEL,OTHER,OTHER,851
ICE,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN BARRIER,OTHER,852
ICE,STRAIGHT ON GRADE,FOUR WAY,WORN SURFACE,853
OTHER,STRAIGHT AND LEVEL,CENTER TURN LANE,UNKNOWN,854
UNKNOWN,STRAIGHT AND LEVEL,TRAFFIC ROUTE,NO DEFECTS,855
DRY,STRAIGHT ON GRADE,ALLEY,OTHER,856
DRY,STRAIGHT ON GRADE,L-INTERSECTION,WORN SURFACE,857
WET,"CURVE, LEVEL",DIVIDED - W/MEDIAN (NOT RAISED),OTHER,858
SNOW OR SLUSH,STRAIGHT AND LEVEL,ALLEY,OTHER,859
ICE,STRAIGHT AND LEVEL,NOT REPORTED,OTHER,860
WET,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN BARRIER,DEBRIS ON ROADWAY,861
ICE,"CURVE, LEVEL",RAMP,UNKNOWN,862
ICE,STRAIGHT AND LEVEL,L-INTERSECTION,NO DEFECTS,863
OTHER,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN BARRIER,OTHER,864
WET,STRAIGHT AND LEVEL,"FIVE POINT, OR MORE",OTHER,865
WET,STRAIGHT ON HILLCREST,ONE-WAY,WORN SURFACE,866
DRY,CURVE ON GRADE,PARKING LOT,OTHER,867
DRY,STRAIGHT ON HILLCREST,ONE-WAY,"RUT, HOLES",868
DRY,STRAIGHT ON GRADE,OTHER,OTHER,869
DRY,STRAIGHT ON HILLCREST,DIVIDED - W/MEDIAN BARRIER,WORN SURFACE,870
ICE,CURVE ON GRADE,RAMP,NO DEFECTS,871
UNKNOWN,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN BARRIER,"RUT, HOLES",872
ICE,CURVE ON GRADE,NOT DIVIDED,NO DEFECTS,873
UNKNOWN,"CURVE, LEVEL",CENTER TURN LANE,NO DEFECTS,874
UNKNOWN,STRAIGHT ON HILLCREST,DIVIDED - W/MEDIAN BARRIER,UNKNOWN,875
ICE,STRAIGHT AND LEVEL,Y-INTERSECTION,OTHER,876
SNOW OR SLUSH,STRAIGHT ON HILLCREST,CENTER TURN LANE,NO DEFECTS,877
WET,STRAIGHT ON GRADE,TRAFFIC ROUTE,NO DEFECTS,878
UNKNOWN,STRAIGHT AND LEVEL,"FIVE POINT, OR MORE",OTHER,879
DRY,STRAIGHT ON GRADE,PARKING LOT,UNKNOWN,880
OTHER,STRAIGHT ON GRADE,DIVIDED - W/MEDIAN BARRIER,OTHER,881
DRY,CURVE ON GRADE,ROUNDABOUT,NO DEFECTS,882
OTHER,STRAIGHT AND LEVEL,OTHER,"RUT, HOLES",883
SNOW OR SLUSH,CURVE ON GRADE,DIVIDED - W/MEDIAN BARRIER,UNKNOWN,884
SNOW OR SLUSH,STRAIGHT ON GRADE,OTHER,UNKNOWN,885
SNOW OR SLUSH,STRAIGHT ON GRADE,L-INTERSECTION,NO DEFECTS,886
WET,"CURVE, LEVEL",NOT DIVIDED,DEBRIS ON ROADWAY,887
UNKNOWN,STRAIGHT AND LEVEL,ONE-WAY,WORN SURFACE,888
DRY,STRAIGHT AND LEVEL,ROUNDABOUT,SHOULDER DEFECT,889
DRY,"CURVE, LEVEL",NOT DIVIDED,"RUT, HOLES",890
WET,"CURVE, LEVEL",NOT DIVIDED,WORN SURFACE,891
WET,CURVE ON GRADE,RAMP,UNKNOWN,892
"SAND, MUD, DIRT",CURVE ON HILLCREST,NOT DIVIDED,WORN SURFACE,893
OTHER,STRAIGHT ON GRADE,NOT DIVIDED,WORN SURFACE,894
WET,STRAIGHT ON HILLCREST,PARKING LOT,NO DEFECTS,895
OTHER,STRAIGHT AND LEVEL,"FIVE POINT, OR MORE",UNKNOWN,896
DRY,STRAIGHT AND LEVEL,ROUNDABOUT,WORN SURFACE,897
UNKNOWN,CURVE ON GRADE,Y-INTERSECTION,UNKNOWN,898
UNKNOWN,"CURVE, LEVEL",DIVIDED - W/MEDIAN (NOT RAISED),NO DEFECTS,899
DRY,CURVE ON GRADE,FOUR WAY,DEBRIS ON ROADWAY,900
WET,"CURVE, LEVEL",TRAFFIC ROUTE,NO DEFECTS,901
DRY,"CURVE, LEVEL",T-INTERSECTION,WORN SURFACE,902
DRY,STRAIGHT ON GRADE,ROUNDABOUT,NO DEFECTS,903
WET,STRAIGHT AND LEVEL,PARKING LOT,OTHER,904
SNOW OR SLUSH,"CURVE, LEVEL",TRAFFIC ROUTE,NO DEFECTS,905
DRY,"CURVE, LEVEL","FIVE POINT, OR MORE",UNKNOWN,906
OTHER,STRAIGHT AND LEVEL,TRAFFIC ROUTE,UNKNOWN,907
DRY,STRAIGHT ON GRADE,NOT REPORTED,NO DEFECTS,908
DRY,STRAIGHT AND LEVEL,L-INTERSECTION,DEBRIS ON ROADWAY,909
WET,"CURVE, LEVEL",UNKNOWN,UNKNOWN,910
WET,STRAIGHT ON HILLCREST,TRAFFIC ROUTE,NO DEFECTS,911
"SAND, MUD, DIRT",STRAIGHT AND LEVEL,TRAFFIC ROUTE,UNKNOWN,912
SNOW OR SLUSH,STRAIGHT AND LEVEL,ALLEY,"RUT, HOLES",913
